date,rack_vancouver,rack_nanaimo,retail_vancouver,retail_victoria,pred_van_dir,pred_vic_dir,graded_van,graded_vic
2026-09-03,161.8,163.9,,,FLAT,FLAT,,
2026-09-04,163.0,165.1,,,UP,UP,,
2026-09-04,163.0,165.1,,,FLAT,FLAT,,
2026-09-05,165.1,167.2,,,UP,UP,,
2026-09-06,165.1,167.2,,,FLAT,FLAT,,
2026-09-07,165.1,167.2,,,FLAT,FLAT,,
2026-09-08,165.1,167.2,,,FLAT,FLAT,,
2026-09-09,161.6,163.7,,,DOWN,DOWN,,
2026-09-10,160.9,163.0,,,FLAT,FLAT,,
2026-09-11,164.7,166.8,,,UP,UP,,
2026-09-12,159.9,162.0,,,DOWN,DOWN,,
